iso2c	edate	party	partyname	parfam	thrs	thrs_l	er.v.c	er.v.c_l	er.in	er.in_l	rile.logit	per607	per608	multic.logit_fd	per608_fd	multic.ratio_fd	af.bipolar_fd	meguid.bipolar_fd	env.logit_fd
DE	05-10-1980	41320	SPD Social Democratic Party of Germany	30	5	5	-4,820511784	-4,67569304	0	0	-0,834206518	0	0	0	0	NaN	-1,547	-0,143	-0,731456187
DE	06-03-1983	41320	SPD Social Democratic Party of Germany	30	5	5	-4,766067301	-4,820511784	0	0	-0,311540641	0	0	0	0	NaN	-3,589	-4,571	-1,465811512
DE	25-01-1987	41320	SPD Social Democratic Party of Germany	30	5	5	-4,400395893	-4,766067301	0	0	-0,581079594	0	0	0	0	NaN	4,996	6,353	0,383966178
DE	02-12-1990	41320	SPD Social Democratic Party of Germany	30	5	5	-2,874819517	-4,400395893	0	0	-1,786816966	0,38	0	-1,098212209	0	NaN	-3,397	-5,556	-4,081257091
DE	16-10-1994	41320	SPD Social Democratic Party of Germany	30	5	5	-3,141947209	-2,874819517	0	0	-0,935883264	0,33	0	-3,33E-04	0	0	6,342	6,722	0,241898576
DE	27-09-1998	41320	SPD Social Democratic Party of Germany	30	5	5	-3,161812305	-3,141947209	0	0	-0,059597576	0,509	0,305	0,645454104	0,305	0,749385749	0,875	3,013	4,217641902
DE	22-09-2002	41320	SPD Social Democratic Party of Germany	30	5	5	-4,415225867	-3,161812305	0	0	0,155009194	0,311	0,621	1,098247635	0,316	0,583232276	1,042	-0,227	-0,933966234
DE	18-09-2005	41320	SPD Social Democratic Party of Germany	30	5	5	-3,417001798	-4,415225867	0	0	-0,082753567	0,114	0,341	0,200454719	-0,28	0,166283073	-2,606	-2,227	1,037298519
DE	27-09-2009	41320	SPD Social Democratic Party of Germany	30	5	5	-3,534683969	-3,417001798	0	0	-0,75616754	1,178	0	-4,816289093	-0,341	-1,498901099	-2,295	-2,954	-1,88469788
DE	22-09-2013	41320	SPD Social Democratic Party of Germany	30	5	5	-3,717097801	-3,534683969	0	0	-0,847936849	1,173	0,242	2,446562343	0,242	0,34204947	1,652	0,338	0,605349484
DE	05-10-1980	41521	CDU/CSU Christian Democratic Union/Christian Social Union	50	5	5	-4,820511784	-4,67569304	0	0	0,735857514	0	0	1,099018873	0	NaN	-2,775	4,242	0,712460224
DE	06-03-1983	41521	CDU/CSU Christian Democratic Union/Christian Social Union	50	5	5	-4,766067301	-4,820511784	0	0	1,037500622	0,73	0	-1,098678953	0	NaN	-1,136	-7,982	-1,22323341
DE	25-01-1987	41521	CDU/CSU Christian Democratic Union/Christian Social Union	50	5	5	-4,400395893	-4,766067301	0	0	0,435344345	0	0	1,098678953	0	NaN	3,297	4,032	-1,366845749
DE	02-12-1990	41521	CDU/CSU Christian Democratic Union/Christian Social Union	50	5	5	-2,874819517	-4,400395893	0	0	-0,389431343	0	0	0	0	NaN	1,966	7,08	-2,346734122
DE	16-10-1994	41521	CDU/CSU Christian Democratic Union/Christian Social Union	50	5	5	-3,141947209	-2,874819517	0	0	1,039271779	0	0	0	0	NaN	10,678	10,983	1,946002972
DE	27-09-1998	41521	CDU/CSU Christian Democratic Union/Christian Social Union	50	5	5	-3,161812305	-3,141947209	0	0	0,98914223	1,449	3,261	0,777922326	3,261	NaN	0,002	-2,896	2,713944383
DE	22-09-2002	41521	CDU/CSU Christian Democratic Union/Christian Social Union	50	5	5	-4,415225867	-3,161812305	0	0	0,767462958	0,38	1,673	0,631388272	-1,588	0,245096658	-3,928	-4,416	-2,22479383
DE	18-09-2005	41521	CDU/CSU Christian Democratic Union/Christian Social Union	50	5	5	-3,417001798	-4,415225867	0	0	1,078896314	0,128	0,766	0,055192654	-0,907	0,083836498	-7,545	-5,424	0,820783197
DE	27-09-2009	41521	CDU/CSU Christian Democratic Union/Christian Social Union	50	5	5	-3,534683969	-3,417001798	0	0	0,371063727	1,643	0,1	-4,056307514	-0,666	-1,598901839	-2,029	-3,166	-1,400034644
DE	22-09-2013	41521	CDU/CSU Christian Democratic Union/Christian Social Union	50	5	5	-3,717097801	-3,534683969	0	0	0,09603057	0,816	1,36	3,093285699	1,26	1,135255307	4,669	2,595	-0,500277484
DK	08-12-1981	13320	SD Social Democratic Party	30	2,034427118	2,034427118	-2,034427118	-2,034427118	0	0	-0,662059865	0	0	0	0	NaN	0,9	0	1,135951849
DK	10-01-1984	13320	SD Social Democratic Party	30	2,034427118	2,034427118	-2,034427118	-2,034427118	0	0	-1,967693083	0	0	0	0	NaN	-0,308	0,592	-1,602091984
DK	08-09-1987	13320	SD Social Democratic Party	30	2,034427118	2,034427118	-2,034427118	-2,034427118	0	0	-1,200931107	0,806	0	-1,098238886	0	NaN	1,021	1,021	-1,435093668
DK	10-05-1988	13320	SD Social Democratic Party	30	2,034427118	2,034427118	-2,034427118	-2,034427118	0	0	-0,866117769	0	0	1,098238886	0	NaN	-0,959	1,002	-1,273127186
DK	12-12-1990	13320	SD Social Democratic Party	30	2,034427118	2,034427118	-2,034427118	-2,034427118	0	0	-1,77302608	0	0	0	0	NaN	0,959	-1,002	1,609595232
DK	21-09-1994	13320	SD Social Democratic Party	30	2,034427118	2,034427118	-2,034427118	-2,034427118	0	0	-0,30718671	0,922	0	-1,609733869	0	NaN	-5,3	-0,692	-1,945835862
DK	11-03-1998	13320	SD Social Democratic Party	30	2,034427118	2,034427118	5,376882992	-2,034427118	1	0	0,17780685	1,939	4,986	2,512600391	4,986	1,44	14,213	12,098	-1,066382872
DK	20-11-2001	13320	SD Social Democratic Party	30	2,034427118	2,034427118	9,966350928	5,376882992	1	1	-0,578490515	2,137	2,85	-0,620069516	-2,136	-0,297028274	-3,224	-3,669	1,204921443
DK	08-02-2005	13320	SD Social Democratic Party	30	2,034427118	2,034427118	11,21904034	9,966350928	1	1	-1,521360858	1,091	9,455	1,741560501	6,605	0,650125182	2,517	0,469	1,241054145
DK	13-11-2007	13320	SD Social Democratic Party	30	1,635660859	2,034427118	12,22596913	11,21904034	1	1	-0,413961552	0,855	3,419	-0,925927415	-6,036	-0,193190498	-14,947	-14,947	-0,576022982
DK	15-09-2011	13320	SD Social Democratic Party	30	1,635660859	1,635660859	10,68255265	12,22596913	1	1	-0,212306443	0	0,592	5.02145121282105E-4	-2,827	0,400093589	6,903	6,903	0,967799444
DK	08-12-1981	13420	V Liberals	40	2,034427118	2,034427118	-2,034427118	-2,034427118	0	0	1,030335413	0	0	0	0	NaN	-14,5	-14,5	2,529242464
DK	10-01-1984	13420	V Liberals	40	2,034427118	2,034427118	-2,034427118	-2,034427118	0	0	0,807121631	0	0	0	0	NaN	-2,956	-0,073	1,277305353
DK	08-09-1987	13420	V Liberals	40	2,034427118	2,034427118	-2,034427118	-2,034427118	0	0	1,010587312	0	0,352	1,098398933	0,352	NaN	1,512	0,39	-6,851035968
DK	10-05-1988	13420	V Liberals	40	2,034427118	2,034427118	-2,034427118	-2,034427118	0	0	1,665007764	0	0	-1,098398933	-0,352	NaN	1,444	4,683	2,533662528
DK	12-12-1990	13420	V Liberals	40	2,034427118	2,034427118	-2,034427118	-2,034427118	0	0	0,653864212	0	0	0	0	NaN	0,293	-4,707	-2,197316573
DK	21-09-1994	13420	V Liberals	40	2,034427118	2,034427118	-2,034427118	-2,034427118	0	0	1,961392067	0	0	0	0	NaN	8,212	9,169	2,708142197
DK	11-03-1998	13420	V Liberals	40	2,034427118	2,034427118	5,376882992	-2,034427118	1	0	0,793966159	2,857	12,857	1,335030541	12,857	NaN	14,709	13,752	0
DK	20-11-2001	13420	V Liberals	40	2,034427118	2,034427118	9,966350928	5,376882992	1	1	1,21819457	4,348	10,145	-0,572918108	-2,712	-0,236389007	1,822	1,822	0
DK	08-02-2005	13420	V Liberals	40	2,034427118	2,034427118	11,21904034	9,966350928	1	1	-0,055189271	0	5,645	2,60515581	-4,5	0,6000138	-15,036	-14,633	-1,466181181
DK	13-11-2007	13420	V Liberals	40	1,635660859	2,034427118	12,22596913	11,21904034	1	1	-0,363993382	2,326	10,853	-1,946011319	5,208	-0,352985811	-5,524	-5,927	-1,367100396
DK	15-09-2011	13420	V Liberals	40	1,635660859	1,635660859	10,68255265	12,22596913	1	1	-0,451980968	1,762	9,692	0,1882761	-1,161	0,045320366	1,395	1,836	6,267279104
DK	08-12-1981	13620	KF Conservative People’s Party	60	2,034427118	2,034427118	-2,034427118	-2,034427118	0	0	3,476421447	0	0	0	0	NaN	-7,8	-6,7	0,578724828
DK	10-01-1984	13620	KF Conservative People’s Party	60	2,034427118	2,034427118	-2,034427118	-2,034427118	0	0	1,767600875	0	0	0	0	NaN	7,222	8,163	-1,687275448
DK	08-09-1987	13620	KF Conservative People’s Party	60	2,034427118	2,034427118	-2,034427118	-2,034427118	0	0	0,247380469	0	0	0	0	NaN	-6,122	-4,792	-3,806625599
DK	10-05-1988	13620	KF Conservative People’s Party	60	2,034427118	2,034427118	-2,034427118	-2,034427118	0	0	1,272965676	0	0	0	0	NaN	-2,22E-16	-3,371	4,394400265
DK	12-12-1990	13620	KF Conservative People’s Party	60	2,034427118	2,034427118	-2,034427118	-2,034427118	0	0	0,397981146	0,917	0	-1,098298906	0	NaN	10,092	11,009	-4,043064952
DK	21-09-1994	13620	KF Conservative People’s Party	60	2,034427118	2,034427118	-2,034427118	-2,034427118	0	0	0,550778215	0	0,885	2,196944528	0,885	2	7,607	6,69	1,334974752
DK	11-03-1998	13620	KF Conservative People’s Party	60	2,034427118	2,034427118	5,376882992	-2,034427118	1	0	0,647491008	0,83	6,224	0,725773355	5,339	-0,235327474	-5,251	-1,102	0,70361345
DK	20-11-2001	13620	KF Conservative People’s Party	60	2,034427118	2,034427118	9,966350928	5,376882992	1	1	0,729109331	0,926	13,889	0,510910349	7,665	0,110319036	9,774	6,551	1,75317756
DK	08-02-2005	13620	KF Conservative People’s Party	60	2,034427118	2,034427118	11,21904034	9,966350928	1	1	0,363332188	0	0,578	-1,236757038	-13,311	0,125008437	-12,974	-13,9	-0,395331091
DK	13-11-2007	13620	KF Conservative People’s Party	60	1,635660859	2,034427118	12,22596913	11,21904034	1	1	-0,510829878	0	2,479	0,847220711	1,901	0	-0,984	3,148	-2,398198886
DK	15-09-2011	13620	KF Conservative People’s Party	60	1,635660859	1,635660859	10,68255265	12,22596913	1	1	1,4626155	0	0	-1,945792999	-2,479	NaN	14,976	15,069	0,847817947
EE	02-03-2003	83410	M People’s Party Moderates	30	5	5	2,308522332	11,09060815	1	1	-0,061453366	0	0	-1,098832264	-0,599	NaN	-6,802	-6,528	-1,05716684
EE	04-03-2007	83410	SDE Social Democratic Party	30	5	5	12,87435048	2,308522332	1	1	-0,373969479	1,538	1,958	0,232067922	1,958	NaN	5,495	2,227	0,58618627
EE	06-03-2011	83410	SDE Social Democratic Party	30	5	5	15,52099254	12,87435048	1	1	-0,331999702	2,908	1,616	-0,798202023	-0,342	-0,405725275	-5,869	-5,869	0,050816299
EE	02-03-2003	83411	K Estonian Center Party	40	5	5	2,308522332	11,09060815	1	1	0,03711473	0	0	-2,397764355	-2,024	NaN	-3,208	-3,994	-2,533570941
EE	04-03-2007	83411	K Estonian Center Party	40	5	5	12,87435048	2,308522332	1	1	-1,048561294	1,023	0,512	-0,587003404	0,512	NaN	-2,115	-2,692	-0,45117341
EE	06-03-2011	83411	K Estonian Center Party	40	5	5	15,52099254	12,87435048	1	1	-0,421902897	1,119	0,447	-0,202569096	-0,065	-0,096219751	0,954	1,369	2,098955566
EE	02-03-2003	83430	ER Estonian Reform Party	40	5	5	2,308522332	11,09060815	1	1	0,174354934	0	0	0	0	NaN	-1,587	-4,323	-3,924074633
EE	04-03-2007	83430	ER Estonian Reform Party	40	5	5	12,87435048	2,308522332	1	1	0,25453116	1,568	2,787	0,551876098	2,787	NaN	12,066	11,677	0,938503065
EE	06-03-2011	83430	ER Estonian Reform Party	40	5	5	15,52099254	12,87435048	1	1	0,11623045	2,345	1,325	-1,106505816	-1,462	-0,557837307	-7,284	-6,672	-0,016823475
ES	28-10-1982	33320	PSOE Spanish Socialist Workers’ Party	30	1,345355	1,345355	-1,302475189	0,764877114	0	1	-0,42397401	0,05	0,149	3,241310453	0,149	1,497487437	1,628	1,641	-0,63363119
ES	22-06-1986	33320	PSOE Spanish Socialist Workers’ Party	30	1,345355	1,345355	-1,128915476	-1,302475189	0	0	-0,618580406	0,23	0	-3,240357417	-0,149	-1,497487437	-1,902	-2,621	0,366911794
ES	29-10-1989	33320	PSOE Spanish Socialist Workers’ Party	30	1,345355	1,345355	-1,227302803	-1,122188476	0	0	-1,184204757	0,203	0	0,45050789	0	0	0,661	1,29	-0,780834974
ES	06-06-1993	33320	PSOE Spanish Socialist Workers’ Party	30	1,345355	1,345355	-1,311171572	-1,234029803	0	0	-1,334518674	0,328	0	-0,45167178	0	0	-2,467	-2,26	-0,510048963
ES	03-03-1996	33320	PSOE Spanish Socialist Workers’ Party	30	1,345355	1,345355	-1,296988482	-1,311171572	0	0	-0,201290286	0,368	0,028	0,194066924	0,028	0,141414141	0,594	1,292	-0,466914599
ES	12-03-2000	33320	PSOE Spanish Socialist Workers’ Party	30	1,345355	1,345355	-1,283102163	-1,296988482	0	0	-0,836653659	0,773	0	-0,839843733	-0,028	-0,141414141	0,523	-0,894	-0,035222474
ES	14-03-2004	33320	PSOE Spanish Socialist Workers’ Party	30	1,345355	1,345355	-1,286725218	-1,283102163	0	0	-0,557904213	1,297	0	-1,717948008	0	0	-2,367	-1,338	0,218190946
ES	09-03-2008	33320	PSOE Spanish Socialist Workers’ Party	30	1,345355	1,345355	-1,290864676	-1,286725218	0	0	-1,208614854	0,814	0	0,444160136	0	0	0,839	0,44	-0,257073645
ES	20-11-2011	33320	PSOE Spanish Socialist Workers’ Party	30	1,345355	1,345355	-1,306771339	-1,290864676	0	0	-1,33975959	0,723	0	0,883691169	0	0	-0,975	-1,189	-0,209425891
ES	28-10-1982	33430	UCD Union of the Democratic Centre/Centrist Bloc	40	1,345355	1,345355	-1,302475189	0,764877114	0	1	-0,305941755	0,275	0,206	1,69346819	0,206	0,856548857	-2,085	-0,85	-0,656076095
ES	22-06-1986	33610	AP Popular Alliance	60	1,345355	1,345355	-1,128915476	-1,302475189	0	0	0,527254107	0,342	0	-1,210619257	-0,036	-0,222910217	-2,82	-2,548	-0,199546946
ES	29-10-1989	33610	PP Popular Party	60	1,345355	1,345355	-1,227302803	-1,122188476	0	0	-0,135555615	0,093	0	1,3313107	0	0	4,521	2,36	-1,018640882
ES	06-06-1993	33610	PP Popular Party	60	1,345355	1,345355	-1,311171572	-1,234029803	0	0	-0,365030315	0	0	1,611839027	0	NaN	-5,843	-4,44	0,478143582
ES	03-03-1996	33610	PP Popular Party	60	1,345355	1,345355	-1,296988482	-1,311171572	0	0	0,506892063	0,254	0	-2,707065717	0	NaN	2,036	1,677	-1,684893225
ES	12-03-2000	33610	PP Popular Party	60	1,345355	1,345355	-1,283102163	-1,296988482	0	0	0,228038389	0,1	0	0,762013078	0	0	-1,242	-0,564	0,351583151
ES	14-03-2004	33610	PP Popular Party	60	1,345355	1,345355	-1,286725218	-1,283102163	0	0	0,420189659	0,047	0,451	4,007112928	0,451	1,81124498	5,368	5,405	-0,115506176
