countryname;Year;Unemployment
Luxembourg;1983;..
Netherlands;1983;..
Norway;1983;..
Poland;1983;..
Portugal;1983;..
Romania;1983;..
Slovenia;1983;..
Spain;1983;..
Sweden;1983;..
Switzerland;1983;..
Austria;1984;..
Bulgaria;1984;..
Croatia;1984;..
Czechia;1984;..
Denmark;1984;..
Estonia;1984;..
Germany;1984;..
Greece;1984;..
Ireland;1984;..
Italy;1984;..
Latvia;1984;..
Luxembourg;1984;..
Netherlands;1984;..
Norway;1984;..
Poland;1984;..
Portugal;1984;..
Romania;1984;..
Slovenia;1984;..
Spain;1984;..
Sweden;1984;..
Switzerland;1984;..
Austria;1985;..
Bulgaria;1985;..
Croatia;1985;..
Czechia;1985;..
Denmark;1985;..
Estonia;1985;..
Germany;1985;..
Greece;1985;..
Ireland;1985;..
Italy;1985;..
Latvia;1985;..
Luxembourg;1985;..
Netherlands;1985;..
Norway;1985;..
Poland;1985;..
Portugal;1985;..
Romania;1985;..
Slovenia;1985;..
Spain;1985;..
Sweden;1985;..
Switzerland;1985;..
Austria;1986;..
Bulgaria;1986;..
Croatia;1986;..
Czechia;1986;..
Denmark;1986;..
Estonia;1986;..
Germany;1986;..
Greece;1986;..
Ireland;1986;..
Italy;1986;..
Latvia;1986;..
Luxembourg;1986;..
Netherlands;1986;..
Norway;1986;..
Poland;1986;..
Portugal;1986;..
Romania;1986;..
Slovenia;1986;..
Spain;1986;..
Sweden;1986;..
Switzerland;1986;..
Austria;1987;..
Bulgaria;1987;..
Croatia;1987;..
Czechia;1987;..
Denmark;1987;..
Estonia;1987;..
Germany;1987;..
Greece;1987;..
Ireland;1987;..
Italy;1987;..
Latvia;1987;..
Luxembourg;1987;..
Netherlands;1987;..
Norway;1987;..
Poland;1987;..
Portugal;1987;..
Romania;1987;..
Slovenia;1987;..
Spain;1987;..
Sweden;1987;..
Switzerland;1987;..
Austria;1988;..
Bulgaria;1988;..
Croatia;1988;..
Czechia;1988;..
Denmark;1988;..
Estonia;1988;..
Germany;1988;..
Greece;1988;..
Ireland;1988;..
Italy;1988;..
Latvia;1988;..
Luxembourg;1988;..
Netherlands;1988;..
Norway;1988;..
Poland;1988;..
Portugal;1988;..
Romania;1988;..
Slovenia;1988;..
Spain;1988;..
Sweden;1988;..
Switzerland;1988;..
Austria;1989;..
Bulgaria;1989;..
Croatia;1989;..
Czechia;1989;..
Denmark;1989;..
Estonia;1989;..
Germany;1989;..
Greece;1989;..
Ireland;1989;..
Italy;1989;..
Latvia;1989;..
Luxembourg;1989;..
Netherlands;1989;..
Norway;1989;..
Poland;1989;..
Portugal;1989;..
Romania;1989;..
Slovenia;1989;..
Spain;1989;..
Sweden;1989;..
Switzerland;1989;..
Austria;1990;..
Bulgaria;1990;..
Croatia;1990;..
Czechia;1990;..
Denmark;1990;..
Estonia;1990;..
Germany;1990;..
Greece;1990;..
Ireland;1990;..
Italy;1990;..
Latvia;1990;..
Luxembourg;1990;..
Netherlands;1990;..
Norway;1990;..
Poland;1990;..
Portugal;1990;..
Romania;1990;..
Slovenia;1990;..
Spain;1990;..
Sweden;1990;..
Switzerland;1990;..
Austria;1991;3,42
Bulgaria;1991;11,1
Croatia;1991;11,14
Czechia;1991;2,27
Denmark;1991;9,099
Estonia;1991;1,468
Germany;1991;5,316
Greece;1991;7,572
Ireland;1991;15,771
Italy;1991;10,097
Latvia;1991;2,7
Luxembourg;1991;1,482
Netherlands;1991;7,285
Norway;1991;5,407
Poland;1991;13,611
Portugal;1991;3,919
Romania;1991;8,218
Slovenia;1991;7,08
Spain;1991;15,929
Sweden;1991;3,243
Switzerland;1991;1,818
Austria;1992;3,59
Bulgaria;1992;15,3
Croatia;1992;10,914
Czechia;1992;2,6
Denmark;1992;9,027
Estonia;1992;3,681
Germany;1992;6,323
Greece;1992;8,927
Ireland;1992;15,021
Italy;1992;9,321
Latvia;1992;6,6
Luxembourg;1992;2,029
Netherlands;1992;5,555
Norway;1992;5,91
Poland;1992;13,645
Portugal;1992;3,985
Romania;1992;8,26
Slovenia;1992;7,809
Spain;1992;17,697
Sweden;1992;5,722
Switzerland;1992;2,344
Austria;1993;4,25
Bulgaria;1993;16,4
Croatia;1993;10,794
Czechia;1993;4,349
Denmark;1993;10,719
Estonia;1993;6,544
Germany;1993;7,675
Greece;1993;10,177
Ireland;1993;15,571
Italy;1993;10,212
Latvia;1993;16,7
Luxembourg;1993;2,33
Netherlands;1993;6,287
Norway;1993;5,965
Poland;1993;14,393
Portugal;1993;5,301
Romania;1993;8,273
Slovenia;1993;8,51
Spain;1993;22,156
Sweden;1993;9,33
Switzerland;1993;3,551
Austria;1994;3,535
Bulgaria;1994;12,8
Croatia;1994;10,45
Czechia;1994;4,284
Denmark;1994;8,036
Estonia;1994;7,561
Germany;1994;8,727
Greece;1994;9,808
Ireland;1994;14,544
Italy;1994;11,086
Latvia;1994;18,7
Luxembourg;1994;3,479
Netherlands;1994;7,159
Norway;1994;5,349
Poland;1994;14,825
Portugal;1994;6,709
Romania;1994;8,17
Slovenia;1994;8,24
Spain;1994;24,209
Sweden;1994;9,58
Switzerland;1994;3,58
Austria;1995;4,345
Bulgaria;1995;11,1
Croatia;1995;10,108
Czechia;1995;4,082
Denmark;1995;6,992
Estonia;1995;9,659
Germany;1995;8,158
Greece;1995;10,116
Ireland;1995;11,97
Italy;1995;11,661
Latvia;1995;19
Luxembourg;1995;2,918
Netherlands;1995;7,157
Norway;1995;6,307
Poland;1995;13,695
Portugal;1995;7,064
Romania;1995;8,01
Slovenia;1995;7,15
Spain;1995;22,675
Sweden;1995;8,897
Switzerland;1995;3,094
Austria;1996;5,282
Bulgaria;1996;12,5
Croatia;1996;9,68
Czechia;1996;3,852
Denmark;1996;6,844
Estonia;1996;9,915
Germany;1996;8,822
Greece;1996;10,402
Ireland;1996;11,692
Italy;1996;11,864
Latvia;1996;20,7
Luxembourg;1996;3,286
Netherlands;1996;6,421
Norway;1996;5,036
Poland;1996;12,684
Portugal;1996;7,298
Romania;1996;6,74
Slovenia;1996;6,886
Spain;1996;22,142
Sweden;1996;9,547
Switzerland;1996;3,684
Austria;1997;5,15
Bulgaria;1997;13,7
Croatia;1997;9,71
Czechia;1997;4,674
Denmark;1997;5,4
Estonia;1997;10,369
Germany;1997;9,861
Greece;1997;10,472
Ireland;1997;10,191
Italy;1997;11,985
Latvia;1997;17,569
Luxembourg;1997;2,527
Netherlands;1997;5,511
Norway;1997;4,687
Poland;1997;10,964
Portugal;1997;6,571
Romania;1997;5,515
Slovenia;1997;6,658
Spain;1997;20,698
Sweden;1997;10,359
Switzerland;1997;4,127
Austria;1998;5,483
Bulgaria;1998;12,2
Croatia;1998;11,392
Czechia;1998;6,455
Denmark;1998;5,039
Estonia;1998;9,51
Germany;1998;9,787
Greece;1998;12,227
Ireland;1998;7,699
Italy;1998;12,117
Latvia;1998;14,454
Luxembourg;1998;2,763
Netherlands;1998;4,394
Norway;1998;3,737
Poland;1998;9,935
Portugal;1998;4,64
Romania;1998;5,63
Slovenia;1998;7,4
Spain;1998;18,673
Sweden;1998;8,941
Switzerland;1998;3,568
Austria;1999;4,699
Bulgaria;1999;14,1
Croatia;1999;13,559
Czechia;1999;8,702
Denmark;1999;5,141
Estonia;1999;11,573
Germany;1999;8,854
Greece;1999;12,138
Ireland;1999;5,804
Italy;1999;11,681
Latvia;1999;13,79
Luxembourg;1999;2,39
Netherlands;1999;3,622
Norway;1999;3,247
Poland;1999;12,29
Portugal;1999;4,579
Romania;1999;6,239
Slovenia;1999;7,33
Spain;1999;15,475
Sweden;1999;7,607
Switzerland;1999;3,053
Austria;2000;4,687
Bulgaria;2000;16,218
Croatia;2000;16,064
Czechia;2000;8,764
Denmark;2000;4,476
Estonia;2000;13,36
Germany;2000;7,917
Greece;2000;11,345
Ireland;2000;4,318
Italy;2000;10,834
Latvia;2000;14,211
Luxembourg;2000;2,345
Netherlands;2000;2,725
Norway;2000;3,458
Poland;2000;14,928
Portugal;2000;3,806
Romania;2000;6,969
Slovenia;2000;6,92
Spain;2000;13,785
Sweden;2000;5,466
Switzerland;2000;2,658
Austria;2001;4,007
Bulgaria;2001;19,921
Croatia;2001;15,822
Czechia;2001;8,128
Denmark;2001;4,164
Estonia;2001;13,134
Germany;2001;7,773
Greece;2001;10,764
Ireland;2001;3,684
Italy;2001;9,599
Latvia;2001;13,821
Luxembourg;2001;1,805
Netherlands;2001;2,119
Norway;2001;3,738
Poland;2001;18,435
Portugal;2001;3,829
Romania;2001;6,561
Slovenia;2001;5,682
Spain;2001;10,348
Sweden;2001;4,73
Switzerland;2001;2,49
Austria;2002;4,852
Bulgaria;2002;18,11
Croatia;2002;15,053
Czechia;2002;7,28
Denmark;2002;4,274
Estonia;2002;10,026
Germany;2002;8,482
Greece;2002;10,346
Ireland;2002;4,216
Italy;2002;9,211
Latvia;2002;13,829
Luxembourg;2002;2,621
Netherlands;2002;2,554
Norway;2002;4,022
Poland;2002;20,211
Portugal;2002;4,497
Romania;2002;8,112
Slovenia;2002;5,922
Spain;2002;11,146
Sweden;2002;4,965
Switzerland;2002;2,924
Austria;2003;4,779
Bulgaria;2003;13,733
Croatia;2003;13,924
Czechia;2003;7,777
Denmark;2003;5,398
Estonia;2003;11,288
Germany;2003;9,779
Greece;2003;9,839
Ireland;2003;4,478
Italy;2003;8,869
Latvia;2003;12,061
Luxembourg;2003;3,675
Netherlands;2003;3,593
Norway;2003;4,221
Poland;2003;19,899
Portugal;2003;6,132
Romania;2003;6,95
Slovenia;2003;6,479
Spain;2003;11,283
Sweden;2003;5,555
Switzerland;2003;4,117
Austria;2004;5,969
Bulgaria;2004;12,037
Croatia;2004;13,664
Czechia;2004;8,298
Denmark;2004;5,204
Estonia;2004;10,248
Germany;2004;10,727
Greece;2004;10,628
Ireland;2004;4,491
Italy;2004;7,866
Latvia;2004;11,708
Luxembourg;2004;5,113
Netherlands;2004;4,646
Norway;2004;4,256
Poland;2004;18,822
Portugal;2004;6,319
Romania;2004;7,719
Slovenia;2004;6,012
Spain;2004;11,09
Sweden;2004;6,693
Switzerland;2004;4,316
Austria;2005;5,682
Bulgaria;2005;10,083
Croatia;2005;12,598
Czechia;2005;7,927
Denmark;2005;4,83
Estonia;2005;8,033
Germany;2005;11,193
Greece;2005;10,074
Ireland;2005;4,237
Italy;2005;7,73
Latvia;2005;10,033
Luxembourg;2005;4,488
Netherlands;2005;5,872
Norway;2005;4,381
Poland;2005;17,592
Portugal;2005;7,582
Romania;2005;7,174
Slovenia;2005;6,506
Spain;2005;9,146
Sweden;2005;7,81
Switzerland;2005;4,437
Austria;2006;5,32
Bulgaria;2006;8,951
Croatia;2006;11,13
Czechia;2006;7,141
Denmark;2006;3,897
Estonia;2006;5,915
Germany;2006;10,277
Greece;2006;8,906
Ireland;2006;4,355
Italy;2006;6,777
Latvia;2006;7,03
Luxembourg;2006;4,731
Netherlands;2006;5,007
Norway;2006;3,397
Poland;2006;13,794
Portugal;2006;7,649
Romania;2006;7,27
Slovenia;2006;5,95
Spain;2006;8,452
Sweden;2006;7,066
Switzerland;2006;3,995
Austria;2007;4,909
Bulgaria;2007;6,878
Croatia;2007;9,909
Czechia;2007;5,316
Denmark;2007;3,801
Estonia;2007;4,592
Germany;2007;8,732
Greece;2007;8,351
Ireland;2007;4,98
Italy;2007;6,076
Latvia;2007;6,052
Luxembourg;2007;4,065
Netherlands;2007;4,153
Norway;2007;2,493
Poland;2007;9,551
Portugal;2007;7,965
Romania;2007;6,413
Slovenia;2007;4,818
Spain;2007;8,232
Sweden;2007;6,161
Switzerland;2007;3,641
Austria;2008;4,198
Bulgaria;2008;5,609
Croatia;2008;8,53
Czechia;2008;4,392
Denmark;2008;3,683
Estonia;2008;5,455
Germany;2008;7,508
Greece;2008;7,664
Ireland;2008;6,774
Italy;2008;6,723
Latvia;2008;7,739
Luxembourg;2008;5,06
Netherlands;2008;3,658
Norway;2008;2,521
Poland;2008;7,069
Portugal;2008;7,553
Romania;2008;5,787
Slovenia;2008;4,371
Spain;2008;11,254
Sweden;2008;6,235
Switzerland;2008;3,35
Austria;2009;5,371
Bulgaria;2009;6,817
Croatia;2009;9,202
Czechia;2009;6,662
Denmark;2009;6,409
Estonia;2009;13,548
Germany;2009;7,88
Greece;2009;9,546
Ireland;2009;12,609
Italy;2009;7,749
Latvia;2009;17,515
Luxembourg;2009;5,194
Netherlands;2009;4,352
Norway;2009;3,1
Poland;2009;8,131
Portugal;2009;9,432
Romania;2009;6,859
Slovenia;2009;5,858
Spain;2009;17,857
Sweden;2009;8,351
Switzerland;2009;4,109
Austria;2010;4,883
Bulgaria;2010;10,279
Croatia;2010;11,62
Czechia;2010;7,281
Denmark;2010;7,746
Estonia;2010;16,707
Germany;2010;7,043
Greece;2010;12,719
Ireland;2010;14,534
Italy;2010;8,363
Latvia;2010;19,482
Luxembourg;2010;4,423
Netherlands;2010;4,991
Norway;2010;3,527
Poland;2010;9,578
Portugal;2010;10,771
Romania;2010;6,959
Slovenia;2010;7,236
Spain;2010;19,86
Sweden;2010;8,61
Switzerland;2010;4,808
Austria;2011;4,637
Bulgaria;2011;11,26
Croatia;2011;13,678
Czechia;2011;6,712
Denmark;2011;7,769
Estonia;2011;12,328
Germany;2011;5,967
Greece;2011;17,973
Ireland;2011;15,354
Italy;2011;8,359
Latvia;2011;16,206
Luxembourg;2011;5,122
Netherlands;2011;4,977
Norway;2011;3,196
Poland;2011;9,576
Portugal;2011;12,682
Romania;2011;7,177
Slovenia;2011;8,166
Spain;2011;21,39
Sweden;2011;7,804
Switzerland;2011;4,409
Austria;2012;4,909
Bulgaria;2012;12,27
Croatia;2012;15,935
Czechia;2012;6,979
Denmark;2012;7,798
Estonia;2012;10,021
Germany;2012;5,372
Greece;2012;24,731
Ireland;2012;15,451
Italy;2012;10,655
Latvia;2012;15,047
Luxembourg;2012;5,03
Netherlands;2012;5,821
Norway;2012;3,129
Poland;2012;10,031
Portugal;2012;15,531
Romania;2012;6,794
Slovenia;2012;8,841
Spain;2012;24,789
Sweden;2012;7,976
Switzerland;2012;4,491
Austria;2013;5,367
Bulgaria;2013;12,941
Croatia;2013;17,251
Czechia;2013;6,953
Denmark;2013;7,384
Estonia;2013;8,631
Germany;2013;5,316
Greece;2013;27,686
Ireland;2013;13,735
Italy;2013;12,149
Latvia;2013;11,867
Luxembourg;2013;6,045
Netherlands;2013;7,241
Norway;2013;3,425
Poland;2013;10,293
Portugal;2013;16,188
Romania;2013;7,096
Slovenia;2013;10,103
Spain;2013;26,094
Sweden;2013;8,052
Switzerland;2013;4,747
Austria;2014;5,674
Bulgaria;2014;11,424
Croatia;2014;17,29
Czechia;2014;6,108
Denmark;2014;6,925
Estonia;2014;7,352
Germany;2014;4,979
Greece;2014;26,708
Ireland;2014;11,858
Italy;2014;12,683
Latvia;2014;10,846
Luxembourg;2014;6,044
Netherlands;2014;7,419
Norway;2014;3,486
Poland;2014;8,971
Portugal;2014;13,897
Romania;2014;6,802
Slovenia;2014;9,668
Spain;2014;24,441
Sweden;2014;7,954
Switzerland;2014;4,826
Austria;2015;5,802
Bulgaria;2015;9,143
Croatia;2015;16,175
Czechia;2015;5,048
Denmark;2015;6,278
Estonia;2015;6,412
Germany;2015;4,612
Greece;2015;24,981
Ireland;2015;9,908
Italy;2015;11,896
Latvia;2015;9,873
Luxembourg;2015;6,796
Netherlands;2015;6,872
Norway;2015;4,296
Poland;2015;7,475
Portugal;2015;12,447
Romania;2015;6,812
Slovenia;2015;8,962
Spain;2015;22,057
Sweden;2015;7,432
Switzerland;2015;4,801
Austria;2016;6,064
Bulgaria;2016;7,575
Croatia;2016;13,103
Czechia;2016;3,952
Denmark;2016;5,989
Estonia;2016;6,882
Germany;2016;4,104
Greece;2016;23,514
Ireland;2016;8,374
Italy;2016;11,688
Latvia;2016;9,643
Luxembourg;2016;6,669
Netherlands;2016;6,007
Norway;2016;4,68
Poland;2016;6,141
Portugal;2016;11,068
Romania;2016;5,901
Slovenia;2016;8
Spain;2016;19,635
Sweden;2016;6,99
Switzerland;2016;4,918
Austria;2017;5,561
Bulgaria;2017;6,164
Croatia;2017;11,208
Czechia;2017;2,893
Denmark;2017;5,833
Estonia;2017;5,807
Germany;2017;3,781
Greece;2017;21,413
Ireland;2017;6,713
Italy;2017;11,211
Latvia;2017;8,715
Luxembourg;2017;5,523
Netherlands;2017;4,837
Norway;2017;4,164
Poland;2017;4,867
Portugal;2017;8,869
Romania;2017;4,927
Slovenia;2017;6,564
Spain;2017;17,224
Sweden;2017;6,718
Switzerland;2017;4,797
Austria;2018;4,933
Bulgaria;2018;5,211
Croatia;2018;8,432
Czechia;2018;2,246
Denmark;2018;5,131
Estonia;2018;5,412
Germany;2018;3,384
Greece;2018;19,179
Ireland;2018;5,741
Italy;2018;10,61
Latvia;2018;7,412
Luxembourg;2018;5,589
Netherlands;2018;3,832
Norway;2018;3,801
Poland;2018;3,835
Portugal;2018;6,994
Romania;2018;4,187
Slovenia;2018;5,108
Spain;2018;15,255
Sweden;2018;6,365
Switzerland;2018;4,713
Austria;2019;4,56
Bulgaria;2019;4,23
Croatia;2019;6,617
Czechia;2019;2,015
Denmark;2019;5,018
Estonia;2019;4,514
Germany;2019;3,163
Greece;2019;17,045
Ireland;2019;4,95
Italy;2019;9,951
Latvia;2019;6,312
Luxembourg;2019;5,592
Netherlands;2019;3,379
Norway;2019;3,684
Poland;2019;3,267
Portugal;2019;6,464
Romania;2019;3,912
Slovenia;2019;4,446
Spain;2019;14,104
Sweden;2019;6,833
Switzerland;2019;4,394
Austria;2020;5,201
Bulgaria;2020;5,125
Croatia;2020;7,507
Czechia;2020;2,55
Denmark;2020;5,637
Estonia;2020;6,956
Germany;2020;3,881
Greece;2020;15,899
Ireland;2020;5,623
Italy;2020;9,164
Latvia;2020;8,098
Luxembourg;2020;6,766
Netherlands;2020;3,82
Norway;2020;4,424
Poland;2020;3,155
Portugal;2020;6,801
Romania;2020;5,035
Slovenia;2020;4,971
Spain;2020;15,532
Sweden;2020;8,291
Switzerland;2020;4,817
Austria;2021;6,459
Bulgaria;2021;5,267
Croatia;2021;7,608
Czechia;2021;2,803
Denmark;2021;5,043
Estonia;2021;6,178
Germany;2021;3,594
Greece;2021;14,656
Ireland;2021;6,364
Italy;2021;9,497
Latvia;2021;7,513
Luxembourg;2021;5,571
Netherlands;2021;4,209
Norway;2021;4,359
Poland;2021;3,268
Portugal;2021;6,577
Romania;2021;5,59
Slovenia;2021;4,744
Spain;2021;14,781
Sweden;2021;8,722
Switzerland;2021;5,013
Austria;2022;4,992
Bulgaria;2022;4,268
Croatia;2022;6,96
Czechia;2022;2,224
Denmark;2022;4,434
Estonia;2022;5,571
Germany;2022;3,12
Greece;2022;12,426
Ireland;2022;4,501
Italy;2022;8,069
Latvia;2022;6,815
Luxembourg;2022;4,588
Netherlands;2022;3,526
Norway;2022;3,231
Poland;2022;2,811
Portugal;2022;6,011
Romania;2022;5,614
Slovenia;2022;4,011
Spain;2022;12,917
Sweden;2022;7,392
Switzerland;2022;4,122
Austria;2023;5,264
Bulgaria;2023;4,319
Croatia;2023;6,086
Czechia;2023;2,579
Denmark;2023;5,094
Estonia;2023;6,378
Germany;2023;3,068
Greece;2023;11,066
Ireland;2023;4,288
Italy;2023;7,627
Latvia;2023;6,465
Luxembourg;2023;5,184
Netherlands;2023;3,537
Norway;2023;3,572
Poland;2023;2,743
Portugal;2023;6,509
Romania;2023;5,589
Slovenia;2023;3,652
Spain;2023;12,179
Sweden;2023;7,611
Switzerland;2023;4,043
